state,x,y
Alabama,139,-80
Alaska,-204,-170
Arizona,-203,-40
Arkansas,57,-53
California,-297,13
Colorado,-112,20
Connecticut,299,94
Delaware,275,42
Florida,222,-145
Georgia,185,-73
Hawaii,-317,-143
Idaho,-210,118
Illinois,95,37
Indiana,140,39
Iowa,40,65
Kansas,-17,5
Kentucky,149,0
Louisiana,66,-120
Maine,322,164
Maryland,288,27
Massachusetts,312,112
Michigan,148,101
Minnesota,30,150
Mississippi,94,-88
Missouri,52,6
Montana,-141,155
Nebraska,-53,66
Nevada,-255,56
New Hampshire,302,127
New Jersey,282,62
New Mexico,-125,-50
New York,250,104
North Carolina,239,-22
North Dakota,-40,158
Ohio,176,52
Oklahoma,-8,-41
Oregon,-278,138
Pennsylvania,238,72
Rhode Island,318,90
South Carolina,218,-51
South Dakota,-41,109
Tennessee,131,-34
Texas,-38,-106
Utah,-189,34
Vermont,282,150
Virginia,234,12
Washington,-257,193
West Virginia,200,20
Wisconsin,83,113
Wyoming,-134,90
